target,text
zd,
zd,"трансмашхолдинг представил программу развития производства тепловозов брянском машиностроительном заводе бмз, входит состав трансмашхолдинга состоялась рабочая встреча участием директора департамента стратегического развития корпоративной политики минпромторга россии а. в. матушанского руководителей трансмашхолдинга. предприятии активно ведется модернизация производственных площадок реализации инвестиционного проекта, направленного разработку выпуск современного подвижного состава. проект предполагает постановку производство маневрового тепловоза тэм, линейки новых магистральных грузовых тепловозов отечественными дизельгенераторными установками. реализацию г. предусмотрено финансирование размере более..."
zd,"последние годы транспорт рф достиг значимых результатов условиях действующих ограничений необходимости перестройки логистических цепочек транспортному комплексу страны удалось добиться значимых результатов. итоговом заседании коллегии минтранса россии марта г. сообщил первый заместитель председателя правительства а. р. белоусов. г. положительную динамику показали грузовые пассажирские перевозки. ряду направлений существенно превышены значения , г. объем работы железнодорожного транспорта составил , трлн приведенных ткм; дальнем следовании пригородном сообщении перевезено , млрд пассажиров, , % выше показателя г. является максимальным результатом последние лет. наземным городским транспортом выполнены перевозки около млрд пассажиров числе , млрд чел. — электрическим, на..."
zd,"аккумуляторы источники резервного питания тоннелях французская компания saft дочернее предприятие корпорации totalenergies поставит индийской autometers alliance менее блоков аккумуляторных батарей regenpro тоннелей линии удхампур — барамула качестве источников резервного питания систем связи, освещения пожарной сигнализации. участке банихал — санголдан длиной , км, открытом феврале г., поезда проходят мостам тоннелям общей протяженностью свыше км, тоннелей , км является самым длинным сети железных дорог индии. линия построена гористой сейсмоактивной зоне долины кашмир, зимой температура падает – °с. никелькадмиевые аккумуляторы характеризуются надежностью, способностью работать низких температурах, простотой обслуживания, относительно большим..."
zd,"зубчатая железная дорога dolderbahn швейцарии обновляет подвижной состав компания stadler поставила первый двух вагонов, заказанных зубчатой железной дороги dolderbahn швейцарском цюрихе. прибытие второго вагона ожидается августе г. зубчатая железная дорога dolderbahn длиной м колеи мм электрифицирована постоянном токе напряжением в, имеет перепад высот м, соответствует уклону около ‰. линия принадлежит совместному предприятию dolderbahnbetriebs равными долями участия нем города цюрих отеля dolder grand, находится эксплуатации оператора общественного транспорта цюриха verkehrsbetriebe zürich vbz. июне г. vbz заключил контракт стоимостью..."
zd,"ratp получила контракт эксплуатацию содержание рельсового транспорта лиона транспортная администрация лиона sytral mobilités выбрала компанию ratp dev — дочернее подразделение автономного управления транспорта парижа ratp качестве оператора городской рельсовой системы transports en commun lyonnais tcl. вступающий силу января г. контракт охватывает четыре линии метро числе две автоматизированные суммарной протяженностью км станциями парком метропоездов, которые приходится половина суточного объема перевозок tcl; семь линий трамвая длиной км остановками парком вагонов; две линии фуникулера линию трамвайпоезд международный аэропорт лионсентэкзюпери длиной км четырьмя станциями. течение лет ratp dev отвечать эксплуатацию обслуживание подвижного состава инфраструктуры tcl, также за..."
zd,"wabtec поставит тепловозы уругвай международная логистическая компания grupo ras, базирующаяся уругвае, приобретет тепловоза cemp постройки корпорации wabtec. grupo ras стремится укрепить свои позиции, развивая перевозки национальной железнодорожной сети уругвая. wabtec получение заказа важно точки зрения расширения присутствия латиноамериканском рынке. локомотивы cemp оснащены экономичными ‑цилиндровыми дизелями электронным управлением впрыском топлива. строить тепловозы будет..."
zd,"китайском чанчуне открыта линия метро южной части чанчуня, столицы крупнейшего города китайской провинции гирин, марта г. введена эксплуатацию подземная линия метро длиной , км, обслуживающая станции. дополнила сеть городского рельсового транспорта, состоящую шести линий трех подземных , трех подземными, наземными надземными участками , . протяженность сети увеличилась , км. станциях линии направления восток — запад предусмотрены пересадки линии , , , также железнодорожный вокзал чанчуньзападный. двухпутной линии курсируют шестивагонные поезда серии b, поставленные компанией crrc changchun railway vehicles рассчитанные для..."
zd,итоги й недели года железных дорогах мира. самое важное
zd,"crrc отозвала заявку участие болгарском тендере компания crrc qingdao sifang locomotive входит состав корпорации crrc отозвала заявку участие повторном тендере поставку пассажирских поездов локомотивной тяги постоянной составности стоимостью , млрд левов около млн евро болгарию месяц того, еврокомиссия объявила начале детального расследования масштаба господдержки китайской компании соответствии принятыми середине г. европейскими правилами. связи отзывом заявки еврокомиссия прекратила это расследование. первом болгарском тендере кроме crrc qingdao sifang locomotive участвовала..."
