target,text
zd,0
zd,"«Трансмашхолдинг» представил программу развития производства тепловозов
   На Брянском машиностроительном заводе (БМЗ, входит в состав «Трансмашхолдинга») состоялась рабочая встреча с участием директора Департамента стратегического развития и корпоративной политики Минпромторга России А. В. Матушанского и руководителей «Трансмашхолдинга». 
   На предприятии активно ведется модернизация производственных площадок для реализации инвестиционного проекта, направленного на разработку и выпуск современного подвижного состава. Этот проект предполагает постановку на производство маневрового тепловоза ТЭМ23, линейки новых магистральных грузовых тепловозов с отечественными дизель-генераторными установками. На его реализацию с 2022 по 2028 г. предусмотрено финансирование в размере более...
https://zdmira.com/news/transmashkholding-predstavil-programmu-razvitiya-proizvodstva-teplovozov
1"
zd,2
zd,"За последние годы транспорт РФ достиг значимых результатов
   В условиях действующих ограничений и необходимости перестройки логистических цепочек транспортному комплексу страны удалось добиться значимых результатов. Об этом на итоговом заседании Коллегии Минтранса России 29 марта 2024 г. сообщил первый заместитель председателя правительства А. Р. Белоусов. 
   В 2023 г. положительную динамику показали грузовые и пассажирские перевозки. По ряду направлений существенно превышены значения не только 2022, но и 2019 г. Объем работы железнодорожного транспорта составил более 3,6 трлн приведенных ткм; в дальнем следовании и пригородном сообщении перевезено более 1,2 млрд пассажиров, что на 5,8 % выше показателя 2022 г. и является максимальным результатом за последние 15 лет. Наземным городским транспортом выполнены перевозки около 11 млрд пассажиров (в том числе 1,9 млрд чел. — электрическим), что на...
https://zdmira.com/news/za-poslednie-gody-transport-rf-dostig-znachimykh-rezultatov
3"
zd,"Аккумуляторы как источники резервного питания в тоннелях
   Французская компания Saft (дочернее предприятие корпорации TotalEnergies) поставит индийской Autometers Alliance не менее 30 блоков аккумуляторных батарей ReGenPro для тоннелей на линии Удхампур — Барамула в качестве источников резервного питания систем связи, освещения и пожарной сигнализации. На участке Банихал — Санголдан длиной 48,1 км, открытом в феврале 2024 г., поезда проходят по 16 мостам и 11 тоннелям общей протяженностью свыше 43 км, один из тоннелей (12,8 км) является самым длинным на сети железных дорог Индии. Линия построена в гористой и сейсмоактивной зоне долины Кашмир, где зимой температура падает до –20 °С.
   Никель-кадмиевые аккумуляторы характеризуются надежностью, способностью работать при низких температурах, простотой обслуживания, относительно большим...
https://zdmira.com/news/akkumulyatory-kak-istochniki-rezervnogo-pitaniya-v-tonnelyakh
4"
zd,"Зубчатая железная дорога Dolderbahn в Швейцарии обновляет подвижной состав
   Компания Stadler поставила первый из двух вагонов, заказанных для зубчатой железной дороги Dolderbahn в швейцарском Цюрихе. Прибытие второго вагона ожидается в августе 2024 г. 
   Зубчатая железная дорога Dolderbahn длиной 1328 м колеи 1000 мм электрифицирована на постоянном токе напряжением 600 В, она имеет перепад высот 162 м, что соответствует уклону около 19 ‰. Линия принадлежит совместному предприятию Dolderbahn-Betriebs с равными долями участия в нем (50:50) города Цюрих и отеля Dolder Grand, но находится в эксплуатации у оператора общественного транспорта Цюриха Verkehrsbetriebe Zürich (VBZ).  
   В июне 2021 г. VBZ заключил контракт стоимостью...
https://zdmira.com/news/zubchataya-zheleznaya-doroga-dolderbahn-v-shvejtsarii-obnovlyaet-podvizhnoj-sostav
5"
zd,"RATP получила контракт на эксплуатацию и содержание рельсового транспорта Лиона
   Транспортная администрация Лиона SYTRAL Mobilités выбрала компанию RATP Dev — дочернее подразделение Автономного управления транспорта Парижа (RATP) в качестве оператора городской рельсовой системы Transports en Commun Lyonnais (TCL). Вступающий в силу 1 января 2025 г. контракт охватывает четыре линии метро (в том числе две автоматизированные) суммарной протяженностью 70 км с 44 станциями и парком из 102 метропоездов, на которые приходится половина суточного объема перевозок TCL; семь линий трамвая длиной 71 км со 128 остановками и парком из 107 вагонов; две линии фуникулера и линию трамвай-поезд в международный аэропорт Лион-Сент-Экзюпери длиной 13 км с четырьмя станциями. 
   В течение 10 лет RATP Dev будет отвечать за эксплуатацию и обслуживание подвижного состава и инфраструктуры TCL, а также за...
https://zdmira.com/news/ratp-poluchila-kontrakt-na-ekspluatatsiyu-i-soderzhanie-relsovogo-transporta-liona
6"
zd,"Wabtec поставит тепловозы в Уругвай
   Международная логистическая компания Grupo RAS, базирующаяся в Уругвае, приобретет три тепловоза C23EMP постройки корпорации Wabtec. Grupo RAS стремится укрепить свои позиции, развивая перевозки по национальной железнодорожной сети Уругвая. Для Wabtec получение этого заказа важно с точки зрения расширения присутствия на латиноамериканском рынке.
   Локомотивы C23EMP оснащены экономичными 12‑цилиндровыми дизелями с электронным управлением впрыском топлива. Строить тепловозы будет...
https://zdmira.com/news/wabtec-postavit-teplovozy-v-urugvaj
7"
zd,"В китайском Чанчуне открыта линия 6 метро
   В южной части Чанчуня, столицы и крупнейшего города китайской провинции Гирин, 28 марта 2024 г. введена в эксплуатацию подземная линия 6 метро длиной 29,6 км, обслуживающая 22 станции. Она дополнила сеть городского рельсового транспорта, состоящую теперь из шести линий: трех подземных (1, 2 и 6) и трех с подземными, наземными и надземными участками (3, 4 и 8). Протяженность этой сети увеличилась до 140,8 км.
   На станциях линии 6 направления восток — запад предусмотрены пересадки на линии 1, 2, 3 и 4, а также на железнодорожный вокзал Чанчунь-Западный. По двухпутной линии курсируют шестивагонные поезда серии B, поставленные компанией CRRC Changchun Railway Vehicles и рассчитанные для...
https://zdmira.com/news/v-kitajskom-chanchune-otkryta-liniya-6-metro
8"
zd,"Итоги 13-й недели 2024 года на железных дорогах мира. Самое важное
https://zdmira.com/news/itogi-13-j-nedeli-2024-goda-na-zheleznykh-dorogakh-mira-samoe-vazhnoe
9"
zd,"CRRC отозвала заявку на участие в болгарском тендере
   Компания CRRC Qingdao Sifang Locomotive (входит в состав корпорации CRRC) отозвала заявку на участие в повторном тендере на поставку 20 пассажирских поездов локомотивной тяги постоянной составности стоимостью 1,2 млрд левов (около 610 млн евро) в Болгарию через месяц после того, как Еврокомиссия объявила о начале детального расследования масштаба господдержки китайской компании в соответствии с принятыми в середине 2023 г. европейскими правилами. Теперь в связи с отзывом заявки Еврокомиссия прекратила это расследование. 
   В первом болгарском тендере кроме CRRC Qingdao Sifang Locomotive участвовала...
https://zdmira.com/news/crrc-otozvala-zayavku-na-uchastie-v-bolgarskom-tendere
10"
zd,"В Китае завершена проходка морского тоннеля на ВСМ Гуанчжоу — Чжаньцзян
   В Китае на высокоскоростной магистрали Гуанчжоу — Чжаньцзян завершена проходка тоннеля длиной 9,64 км с участком под акваторией залива Чжаньцзян Южно-Китайского моря. В ходе работ за 33 мес одним проходческим щитом диаметром 14,33 м пройдено 7551 м, в том числе 2500 м под дном моря на глубине до 52 м. Это первый в Китае опыт бурения одним щитом Yongxing подводного участка тоннеля ВСМ такой длины. Средняя скорость проходки превысила 200 м/мес (с рекордом 510 м/мес). Проектом предусмотрено также обустройство вспомогательных труб для обеспечения безопасности эксплуатации и технического обслуживания основного тоннеля.
   В настоящее время на ВСМ Гуанчжоу — Чжаньцзян протяженностью 401 км работы по укладке пути завершены на...
https://zdmira.com/news/v-kitae-zavershena-prokhodka-morskogo-tonnelya-na-vsm-guanchzhou-chzhantszyan
11"
